filters	page_title	page_id	page_namespace
"Geotags (50.7034,7.13917)
Page Hits (count: 1636)"	Bundesministerium für Bildung und Forschung	29000	0
"Geotags (50.7277,7.10929)
Page Hits (count: 1458)"	Bundeszentrale für politische Bildung	140469	0
"Geotags (50.8518,6.078)
Page Hits (count: 806)"	Liste öffentlicher Bücherschränke	4309514	0
"Geotags (50.7002,7.14862)
Page Hits (count: 567)"	Deutscher Akademischer Austauschdienst	204602	0
"Geotags (50.704,7.15108)
Page Hits (count: 161)"	Forschungszentrum caesar	5189838	0
"Geotags (50.7324,7.10815)
Page Hits (count: 117)"	Collegium Albertinum (Konvikt)	914199	0
"Geotags (50.7268,7.08663)
Page Hits (count: 99)"	Universitäts- und Landesbibliothek Bonn	3246854	0
"Geotags (50.7091,7.12524)
Page Hits (count: 96)"	Friedrich-Ebert-Gymnasium Bonn	1402250	0
"Geotags (50.7021,7.13483)
Page Hits (count: 87)"	Bibliothek der Friedrich-Ebert-Stiftung Bonn	1355136	0
"Geotags (50.6954,7.14775)
Page Hits (count: 83)"	Elisabeth-Selbert-Gesamtschule	1111984	0
"Geotags (50.7025,7.1348)
Page Hits (count: 75)"	Archiv der sozialen Demokratie	262127	0
"Geotags (50.7441,7.0859)
Page Hits (count: 65)"	Ludwig-Erhard-Berufskolleg	6415169	0
"Geotags (50.7276,7.09818)
Page Hits (count: 61)"	Volkssternwarte Bonn	688168	0
"Geotags (50.725,7.09209)
Page Hits (count: 60)"	Mineralogisches Museum der Universität Bonn	4576326	0
"Geotags (50.7365,7.10064)
Page Hits (count: 49)"	Martin Bucer Seminar	3710132	0
"Geotags (50.6995,7.14987)
Page Hits (count: 46)"	Wissenschaftszentrum Bonn	6503125	0
"Geotags (50.6859,7.18292)
Page Hits (count: 40)"	Arbeitnehmer-Zentrum Königswinter	2867990	0
"Geotags (50.7428,7.10494)
Page Hits (count: 35)"	Schänzchen (Bonn)	1693785	0
"Geotags (50.7245,7.10063)
Page Hits (count: 19)"	Adolf-Clarenbach-Haus	4575655	0
"Geotags (50.7022,7.13484)
Page Hits (count: HTTPConnectionPool(host='stats.grok.se', port=80): Pool is closed.)"	Friedrich-Ebert-Stiftung	179939	0
